English transcription;latitude;longitude;metro_line_1;metro_line_2;metro_line_3;metro_line_4;metro_line_5;metro_line_6;metro_line_7;metro_line_8;metro_line_9;metro_line_10;metro_line_11;metro_line_12;metro_line_13;metro_line_14;metro_line_15
Bulvar Rokossovskogo;55.8148;37.7342;1;0;0;0;0;0;0;0;0;0;0;0;0;1;0
Cherkizovskaya;55.8038;37.7448;1;0;0;0;0;0;0;0;0;0;0;0;0;1;0
Preobrazhenskaya Ploshchad;55.7963;37.7151;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Sokolniki;55.7888;37.6802;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Krasnoselskaya;55.7801;37.6673;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Komsomolskaya;55.7753;37.6562;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0
Krasnye Vorota;55.769;37.6487;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Chistyye Prudy;55.7657;37.6388;1;0;0;0;0;1;0;0;0;1;0;0;0;0;0
Lubyanka;55.7597;37.6272;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0
Okhotny Ryad;55.7577;37.6166;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0
Biblioteka Imeni Lenina;55.7512;37.61;1;0;1;1;0;0;0;0;1;0;0;0;0;0;0
Kropotkinskaya;55.7453;37.6037;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Park Kultury;55.7356;37.5943;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0
Frunzenskaya;55.7267;37.5786;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Sportivnaya;55.7233;37.5639;1;0;0;0;0;0;0;0;0;0;0;0;0;1;0
Vorobyovy Gory;55.7103;37.5592;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Universitet;55.6926;37.5333;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Prospekt Vernadskogo;55.6771;37.506;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Yugo-Zapadnaya;55.6637;37.4833;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Troparyovo;55.6459;37.4725;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Rumyantsevo;55.633;37.4419;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Salaryevo;55.6227;37.424;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Filatov Lug;55.601367;37.407645;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Prokshino;55.586242;37.433802;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Olkhovaya;55.568643;37.459332;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Kommunarka;55.560396;37.46822;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Khovrino;55.8791;37.4822;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0
Belomorskaya;55.8658;37.4764;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0
Rechnoy Vokzal;55.8549;37.4761;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0
Vodny Stadion;55.8398;37.4867;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0
Voykovskaya;55.819;37.498;0;1;0;0;0;0;0;0;0;0;0;0;0;1;0
Sokol;55.8051;37.5153;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0
Aeroport;55.8003;37.5329;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0
Dinamo;55.7897;37.558;0;1;0;0;0;0;0;0;0;0;1;0;0;0;0
Belorusskaya;55.7767;37.5835;0;1;0;0;1;0;0;0;0;0;0;0;0;0;0
Mayakovskaya;55.7701;37.5958;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0
Tverskaya;55.7647;37.6065;0;1;0;0;0;0;1;0;1;0;0;0;0;0;0
Teatralnaya;55.7578;37.619;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0
Novokuznetskaya;55.7415;37.6295;0;1;0;0;0;1;0;1;0;0;0;0;0;0;0
Paveletskaya;55.7305;37.6377;0;1;0;0;1;0;0;0;0;0;0;0;0;0;0
Avtozavodskaya;55.7074;37.6576;0;1;0;0;0;0;0;0;0;0;0;0;0;1;0
